"","cond((Int))","disp((Int))","cond(Season)","cond(Trophic_Niche)","cond(Season:Trophic_Niche)","Rsq.R2_conditional.Conditional R2","Rsq.R2_marginal.Marginal R2","df","logLik","AICc","delta","weight"
"8",-2.06661882170824,"+","+","+","+",0.948548851252459,0.292959243004721,19,-1256.87594937415,2552.55783724246,0,0.999999651428406
"4",-1.86772167816499,"+","+","+",NA,0.950450702751588,0.281586191435021,14,-1277.3402593429,2583.12355666048,30.5657194180153,2.30535711118514e-07
"3",-1.92223589632185,"+",NA,"+",NA,0.947477466161828,0.276389553939554,13,-1279.03941461501,2584.46239087386,31.9045536313938,1.18035883143864e-07
"2",-3.79385255296352,"+","+",NA,NA,0.954212240367368,0.0032821350096343,9,-1305.42201407151,2629.03290537282,76.4750681303581,2.47542517005532e-17
"1",-3.85050617644914,"+",NA,NA,NA,0.951615914113426,0,8,-1307.30202708792,2630.75499757208,78.197160329612,1.0464108468297e-17
