"","Order","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"52","Galbuliformes","Body_Hg_ppm","Belize",11,"2.691 ± 2.384",88.587,"2019—2021","0.154—5.776"
"53","Galbuliformes","Body_Hg_ppm","Peru",11,"2.691 ± 2.384",88.587,"2019—2021","0.154—5.776"
"54","Galbuliformes","Tail_Hg_ppm","Belize",5,"0.903 ± 0.832",92.134,"2010—2021","0.15—2.237"
"55","Galbuliformes","Tail_Hg_ppm","Costa Rica",5,"0.903 ± 0.832",92.134,"2010—2021","0.15—2.237"
"56","Galbuliformes","Tail_Hg_ppm","Peru",5,"0.903 ± 0.832",92.134,"2010—2021","0.15—2.237"
"57","Passeriformes","Blood_Hg_ppm","Belize",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"58","Passeriformes","Blood_Hg_ppm","Colombia",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"59","Passeriformes","Blood_Hg_ppm","Costa Rica",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"60","Passeriformes","Blood_Hg_ppm","Dominican Republic",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"61","Passeriformes","Blood_Hg_ppm","Mexico",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"62","Passeriformes","Blood_Hg_ppm","Nicaragua",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"63","Passeriformes","Blood_Hg_ppm","Puerto Rico",862,"0.114 ± 0.225",197.322,"2007—2023","0.001—3.195"
"64","Passeriformes","Body_Hg_ppm","Belize",424,"1.792 ± 3.112",173.696,"2018—2023","0.001—28.494"
"65","Passeriformes","Body_Hg_ppm","Colombia",424,"1.792 ± 3.112",173.696,"2018—2023","0.001—28.494"
"66","Passeriformes","Body_Hg_ppm","Peru",424,"1.792 ± 3.112",173.696,"2018—2023","0.001—28.494"
"67","Passeriformes","Tail_Hg_ppm","Belize",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"68","Passeriformes","Tail_Hg_ppm","Costa Rica",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"69","Passeriformes","Tail_Hg_ppm","Mexico",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"70","Passeriformes","Tail_Hg_ppm","Nicaragua",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"71","Passeriformes","Tail_Hg_ppm","Panama",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"72","Passeriformes","Tail_Hg_ppm","Peru",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"73","Passeriformes","Tail_Hg_ppm","Puerto Rico",575,"0.91 ± 1.233",135.387,"2007—2021","0.001—8.606"
"74","Pelecaniformes","Blood_Hg_ppm","Dominican Republic",6,"0.151 ± 0.088",57.943,"2017","0.053—0.281"
"75","Pelecaniformes","Tail_Hg_ppm","Nicaragua",1,"0.447",NA,"2014","NA"
"76","Piciformes","Blood_Hg_ppm","Belize",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"77","Piciformes","Blood_Hg_ppm","Colombia",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"78","Piciformes","Blood_Hg_ppm","Dominican Republic",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"79","Piciformes","Blood_Hg_ppm","Mexico",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"80","Piciformes","Blood_Hg_ppm","Nicaragua",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"81","Piciformes","Body_Hg_ppm","Belize",24,"0.747 ± 2.009",268.926,"2019—2023","0.008—9.721"
"82","Piciformes","Body_Hg_ppm","Colombia",24,"0.747 ± 2.009",268.926,"2019—2023","0.008—9.721"
"83","Piciformes","Body_Hg_ppm","Peru",24,"0.747 ± 2.009",268.926,"2019—2023","0.008—9.721"
"84","Piciformes","Tail_Hg_ppm","Belize",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"85","Piciformes","Tail_Hg_ppm","Costa Rica",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"86","Piciformes","Tail_Hg_ppm","Nicaragua",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"87","Piciformes","Tail_Hg_ppm","Peru",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"88","Psittaciformes","Blood_Hg_ppm","Dominican Republic",1,"0.001",NA,"2017","NA"
"89","Strigiformes","Body_Hg_ppm","Peru",5,"0.833 ± 1.055",126.656,"2011—2019","0.092—2.695"
"90","Suliformes","Blood_Hg_ppm","Mexico",1,"0.162",NA,"2013","NA"
"91","Suliformes","Tail_Hg_ppm","Mexico",2,"2.011 ± 1.426",70.886,"2013","1.003—3.019"
"92","Tinamiformes","Body_Hg_ppm","Peru",1,"0.048",NA,"2019","NA"
"93","Trogoniformes","Body_Hg_ppm","Peru",1,"0.48",NA,"2019","NA"
"94",NA,"Body_Hg_ppm","Peru",1,"0.237",NA,"2018","NA"
"95",NA,"Tail_Hg_ppm","Peru",3,"1.09 ± 0.812",74.486,"2018","0.243—1.862"
