"","Order","Family","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"178","Passeriformes","Tityridae (Tityras and Allies)","Body_Hg_ppm","Belize",5,"0.496 ± 0.747",150.466,"2019—2021","0.014—1.791"
"179","Passeriformes","Tityridae (Tityras and Allies)","Body_Hg_ppm","Peru",5,"0.496 ± 0.747",150.466,"2019—2021","0.014—1.791"
"180","Passeriformes","Tityridae (Tityras and Allies)","Tail_Hg_ppm","Belize",4,"0.085 ± 0.092",108.084,"2007—2021","0.014—0.221"
"181","Passeriformes","Tityridae (Tityras and Allies)","Tail_Hg_ppm","Peru",4,"0.085 ± 0.092",108.084,"2007—2021","0.014—0.221"
"182","Passeriformes","Troglodytidae (Wrens)","Blood_Hg_ppm","Belize",43,"0.119 ± 0.149",125.271,"2007—2023","0.001—0.909"
"183","Passeriformes","Troglodytidae (Wrens)","Blood_Hg_ppm","Colombia",43,"0.119 ± 0.149",125.271,"2007—2023","0.001—0.909"
"184","Passeriformes","Troglodytidae (Wrens)","Blood_Hg_ppm","Costa Rica",43,"0.119 ± 0.149",125.271,"2007—2023","0.001—0.909"
"185","Passeriformes","Troglodytidae (Wrens)","Blood_Hg_ppm","Nicaragua",43,"0.119 ± 0.149",125.271,"2007—2023","0.001—0.909"
"186","Passeriformes","Troglodytidae (Wrens)","Body_Hg_ppm","Belize",25,"2.096 ± 2.701",128.879,"2019—2023","0.208—12.841"
"187","Passeriformes","Troglodytidae (Wrens)","Body_Hg_ppm","Colombia",25,"2.096 ± 2.701",128.879,"2019—2023","0.208—12.841"
"188","Passeriformes","Troglodytidae (Wrens)","Body_Hg_ppm","Peru",25,"2.096 ± 2.701",128.879,"2019—2023","0.208—12.841"
"189","Passeriformes","Troglodytidae (Wrens)","Tail_Hg_ppm","Belize",39,"1.33 ± 1.169",87.938,"2007—2021","0.023—4.632"
"190","Passeriformes","Troglodytidae (Wrens)","Tail_Hg_ppm","Costa Rica",39,"1.33 ± 1.169",87.938,"2007—2021","0.023—4.632"
"191","Passeriformes","Troglodytidae (Wrens)","Tail_Hg_ppm","Nicaragua",39,"1.33 ± 1.169",87.938,"2007—2021","0.023—4.632"
"192","Passeriformes","Troglodytidae (Wrens)","Tail_Hg_ppm","Panama",39,"1.33 ± 1.169",87.938,"2007—2021","0.023—4.632"
"193","Passeriformes","Troglodytidae (Wrens)","Tail_Hg_ppm","Peru",39,"1.33 ± 1.169",87.938,"2007—2021","0.023—4.632"
"194","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Belize",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"195","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Colombia",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"196","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Costa Rica",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"197","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Dominican Republic",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"198","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Nicaragua",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"199","Passeriformes","Turdidae (Thrushes and Allies)","Blood_Hg_ppm","Puerto Rico",34,"0.025 ± 0.03",118.004,"2007—2023","0.001—0.117"
"200","Passeriformes","Turdidae (Thrushes and Allies)","Body_Hg_ppm","Belize",20,"0.744 ± 0.675",90.691,"2019—2023","0.092—2.881"
"201","Passeriformes","Turdidae (Thrushes and Allies)","Body_Hg_ppm","Colombia",20,"0.744 ± 0.675",90.691,"2019—2023","0.092—2.881"
"202","Passeriformes","Turdidae (Thrushes and Allies)","Body_Hg_ppm","Peru",20,"0.744 ± 0.675",90.691,"2019—2023","0.092—2.881"
"203","Passeriformes","Turdidae (Thrushes and Allies)","Tail_Hg_ppm","Belize",44,"0.444 ± 0.441",99.227,"2010—2021","0.026—1.703"
"204","Passeriformes","Turdidae (Thrushes and Allies)","Tail_Hg_ppm","Costa Rica",44,"0.444 ± 0.441",99.227,"2010—2021","0.026—1.703"
"205","Passeriformes","Turdidae (Thrushes and Allies)","Tail_Hg_ppm","Nicaragua",44,"0.444 ± 0.441",99.227,"2010—2021","0.026—1.703"
"206","Passeriformes","Turdidae (Thrushes and Allies)","Tail_Hg_ppm","Peru",44,"0.444 ± 0.441",99.227,"2010—2021","0.026—1.703"
"207","Passeriformes","Turdidae (Thrushes and Allies)","Tail_Hg_ppm","Puerto Rico",44,"0.444 ± 0.441",99.227,"2010—2021","0.026—1.703"
"208","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Belize",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"209","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Colombia",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"210","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Costa Rica",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"211","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Dominican Republic",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"212","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Mexico",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"213","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Blood_Hg_ppm","Nicaragua",106,"0.084 ± 0.142",169.506,"2007—2023","0.001—0.978"
"214","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Body_Hg_ppm","Belize",45,"1.746 ± 2.401",137.486,"2019—2023","0.038—13.94"
"215","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Body_Hg_ppm","Colombia",45,"1.746 ± 2.401",137.486,"2019—2023","0.038—13.94"
"216","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Body_Hg_ppm","Peru",45,"1.746 ± 2.401",137.486,"2019—2023","0.038—13.94"
"217","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Belize",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"218","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Costa Rica",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"219","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Mexico",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"220","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Nicaragua",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"221","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Panama",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"222","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tail_Hg_ppm","Peru",71,"0.894 ± 0.961",107.508,"2007—2021","0.001—5.165"
"223","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Blood_Hg_ppm","Belize",31,"0.062 ± 0.08",130.16,"2007—2021","0.005—0.315"
"224","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Blood_Hg_ppm","Dominican Republic",31,"0.062 ± 0.08",130.16,"2007—2021","0.005—0.315"
"225","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Blood_Hg_ppm","Puerto Rico",31,"0.062 ± 0.08",130.16,"2007—2021","0.005—0.315"
"226","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Body_Hg_ppm","Belize",3,"1.033 ± 0.603",58.367,"2021","0.627—1.726"
"227","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Tail_Hg_ppm","Belize",9,"0.93 ± 0.502",53.922,"2007—2021","0.228—1.937"
"228","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Tail_Hg_ppm","Costa Rica",9,"0.93 ± 0.502",53.922,"2007—2021","0.228—1.937"
"229","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Blood_Hg_ppm","Dominican Republic",6,"0.151 ± 0.088",57.943,"2017","0.053—0.281"
"230","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Tail_Hg_ppm","Nicaragua",1,"0.447",NA,"2014","NA"
"231","Piciformes","Capitonidae (New World Barbets)","Body_Hg_ppm","Peru",1,"0.808",NA,"2019","NA"
"232","Piciformes","Picidae (Woodpeckers)","Blood_Hg_ppm","Belize",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"233","Piciformes","Picidae (Woodpeckers)","Blood_Hg_ppm","Colombia",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"234","Piciformes","Picidae (Woodpeckers)","Blood_Hg_ppm","Dominican Republic",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"235","Piciformes","Picidae (Woodpeckers)","Blood_Hg_ppm","Mexico",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"236","Piciformes","Picidae (Woodpeckers)","Blood_Hg_ppm","Nicaragua",9,"0.027 ± 0.058",213.598,"2013—2023","0.001—0.179"
"237","Piciformes","Picidae (Woodpeckers)","Body_Hg_ppm","Belize",13,"1.161 ± 2.701",232.699,"2019—2023","0.008—9.721"
"238","Piciformes","Picidae (Woodpeckers)","Body_Hg_ppm","Colombia",13,"1.161 ± 2.701",232.699,"2019—2023","0.008—9.721"
"239","Piciformes","Picidae (Woodpeckers)","Body_Hg_ppm","Peru",13,"1.161 ± 2.701",232.699,"2019—2023","0.008—9.721"
"240","Piciformes","Picidae (Woodpeckers)","Tail_Hg_ppm","Belize",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"241","Piciformes","Picidae (Woodpeckers)","Tail_Hg_ppm","Costa Rica",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"242","Piciformes","Picidae (Woodpeckers)","Tail_Hg_ppm","Nicaragua",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"243","Piciformes","Picidae (Woodpeckers)","Tail_Hg_ppm","Peru",5,"0.094 ± 0.067",72.041,"2010—2021","0.033—0.205"
"244","Piciformes","Ramphastidae (Toucans)","Body_Hg_ppm","Peru",10,"0.203 ± 0.085",42.052,"2019","0.069—0.315"
"245","Psittaciformes","Psittacidae (New World and African Parrots)","Blood_Hg_ppm","Dominican Republic",1,"0.001",NA,"2017","NA"
"246","Strigiformes","Strigidae (Owls)","Body_Hg_ppm","Peru",5,"0.833 ± 1.055",126.656,"2011—2019","0.092—2.695"
"247","Suliformes","Sulidae (Boobies and Gannets)","Blood_Hg_ppm","Mexico",1,"0.162",NA,"2013","NA"
"248","Suliformes","Sulidae (Boobies and Gannets)","Tail_Hg_ppm","Mexico",2,"2.011 ± 1.426",70.886,"2013","1.003—3.019"
"249","Tinamiformes","Tinamidae (Tinamous)","Body_Hg_ppm","Peru",1,"0.048",NA,"2019","NA"
"250","Trogoniformes","Trogonidae (Trogons)","Body_Hg_ppm","Peru",1,"0.48",NA,"2019","NA"
"251",NA,NA,"Body_Hg_ppm","Peru",1,"0.237",NA,"2018","NA"
"252",NA,NA,"Tail_Hg_ppm","Peru",3,"1.09 ± 0.812",74.486,"2018","0.243—1.862"
