"","Order","Family","Tissue_Type","Country","n","Mean","CV","Year_Range","Range"
"41","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Belize",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"42","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Colombia",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"43","Coraciiformes","Alcedinidae (Kingfishers)","Body_Hg_ppm","Peru",22,"23.958 ± 20.083",83.829,"2019—2023","1.718—72.795"
"44","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Belize",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"45","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Costa Rica",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"46","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Nicaragua",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"47","Coraciiformes","Alcedinidae (Kingfishers)","Tail_Hg_ppm","Panama",36,"6.128 ± 6.478",105.704,"2007—2021","1.299—25.841"
"48","Coraciiformes","Momotidae (Motmots)","Blood_Hg_ppm","Belize",1,"0.036",NA,"2021","NA"
"49","Coraciiformes","Momotidae (Motmots)","Body_Hg_ppm","Belize",8,"1.504 ± 1.12",74.521,"2019—2021","0.227—3.656"
"50","Coraciiformes","Momotidae (Motmots)","Body_Hg_ppm","Peru",8,"1.504 ± 1.12",74.521,"2019—2021","0.227—3.656"
"51","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Belize",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"52","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Costa Rica",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"53","Coraciiformes","Momotidae (Motmots)","Tail_Hg_ppm","Peru",5,"1.856 ± 3.221",173.509,"2010—2021","0.147—7.585"
"54","Coraciiformes","Todidae (Todies)","Blood_Hg_ppm","Dominican Republic",1,"0.097",NA,"2017","NA"
"55","Cuculiformes","Cuculidae (Cuckoos)","Blood_Hg_ppm","Dominican Republic",6,"0.139 ± 0.102",73.4,"2012—2017","0.007—0.269"
"56","Cuculiformes","Cuculidae (Cuckoos)","Blood_Hg_ppm","Nicaragua",6,"0.139 ± 0.102",73.4,"2012—2017","0.007—0.269"
"57","Cuculiformes","Cuculidae (Cuckoos)","Body_Hg_ppm","Belize",10,"0.913 ± 0.315",34.535,"2019—2021","0.445—1.603"
"58","Cuculiformes","Cuculidae (Cuckoos)","Body_Hg_ppm","Peru",10,"0.913 ± 0.315",34.535,"2019—2021","0.445—1.603"
"59","Falconiformes","Falconidae (Falcons and Caracaras)","Body_Hg_ppm","Peru",36,"5.153 ± 4.333",84.1,"2009—2019","0.374—19.887"
"60","Galbuliformes","Bucconidae (Puffbirds)","Body_Hg_ppm","Peru",3,"0.353 ± 0.316",89.534,"2019","0.154—0.717"
"61","Galbuliformes","Bucconidae (Puffbirds)","Tail_Hg_ppm","Costa Rica",3,"0.512 ± 0.503",98.268,"2010—2018","0.15—1.086"
"62","Galbuliformes","Bucconidae (Puffbirds)","Tail_Hg_ppm","Peru",3,"0.512 ± 0.503",98.268,"2010—2018","0.15—1.086"
"63","Galbuliformes","Galbulidae (Jacamars)","Blood_Hg_ppm","Belize",1,"0.063",NA,"2021","NA"
"64","Galbuliformes","Galbulidae (Jacamars)","Body_Hg_ppm","Belize",8,"3.568 ± 2.206",61.837,"2019—2021","0.933—5.776"
"65","Galbuliformes","Galbulidae (Jacamars)","Body_Hg_ppm","Peru",8,"3.568 ± 2.206",61.837,"2019—2021","0.933—5.776"
"66","Galbuliformes","Galbulidae (Jacamars)","Tail_Hg_ppm","Belize",2,"1.49 ± 1.056",70.845,"2018—2021","0.744—2.237"
"67","Galbuliformes","Galbulidae (Jacamars)","Tail_Hg_ppm","Peru",2,"1.49 ± 1.056",70.845,"2018—2021","0.744—2.237"
"68","Passeriformes","Cardinalidae (Cardinals and Allies)","Blood_Hg_ppm","Belize",16,"0.053 ± 0.083",156.388,"2008—2021","0.001—0.337"
"69","Passeriformes","Cardinalidae (Cardinals and Allies)","Blood_Hg_ppm","Dominican Republic",16,"0.053 ± 0.083",156.388,"2008—2021","0.001—0.337"
"70","Passeriformes","Cardinalidae (Cardinals and Allies)","Blood_Hg_ppm","Nicaragua",16,"0.053 ± 0.083",156.388,"2008—2021","0.001—0.337"
"71","Passeriformes","Cardinalidae (Cardinals and Allies)","Body_Hg_ppm","Belize",7,"0.66 ± 0.602",91.251,"2019—2021","0.198—1.602"
"72","Passeriformes","Cardinalidae (Cardinals and Allies)","Body_Hg_ppm","Peru",7,"0.66 ± 0.602",91.251,"2019—2021","0.198—1.602"
"73","Passeriformes","Cardinalidae (Cardinals and Allies)","Tail_Hg_ppm","Belize",14,"0.457 ± 0.371",81.22,"2007—2021","0.04—1.36"
"74","Passeriformes","Cardinalidae (Cardinals and Allies)","Tail_Hg_ppm","Nicaragua",14,"0.457 ± 0.371",81.22,"2007—2021","0.04—1.36"
"75","Passeriformes","Cardinalidae (Cardinals and Allies)","Tail_Hg_ppm","Peru",14,"0.457 ± 0.371",81.22,"2007—2021","0.04—1.36"
"76","Passeriformes","Conopophagidae (Gnateaters)","Body_Hg_ppm","Peru",1,"1.756",NA,"2019","NA"
"77","Passeriformes","Conopophagidae (Gnateaters)","Tail_Hg_ppm","Peru",3,"1.831 ± 1.12",61.183,"2018","0.968—3.097"
"78","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Blood_Hg_ppm","Belize",2,"0.02 ± 0.011",55.379,"2009—2014","0.012—0.027"
"79","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Blood_Hg_ppm","Nicaragua",2,"0.02 ± 0.011",55.379,"2009—2014","0.012—0.027"
"80","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Body_Hg_ppm","Peru",1,"0.844",NA,"2019","NA"
"81","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Tail_Hg_ppm","Nicaragua",1,"0.165",NA,"2014","NA"
"82","Passeriformes","Dulidae (Palmchat)","Blood_Hg_ppm","Dominican Republic",3,"0.001 ± 0",0,"2017","0.001—0.001"
"83","Passeriformes","Formicariidae (Antthrushes)","Body_Hg_ppm","Peru",7,"1.679 ± 1.376",81.941,"2019","0.558—4.078"
"84","Passeriformes","Formicariidae (Antthrushes)","Tail_Hg_ppm","Peru",1,"5.999",NA,"2018","NA"
"85","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Blood_Hg_ppm","Belize",7,"0.003 ± 0.003",109.614,"2008—2021","0.001—0.008"
"86","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Body_Hg_ppm","Belize",8,"0.174 ± 0.376",215.362,"2019—2021","0.01—1.101"
"87","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Body_Hg_ppm","Peru",8,"0.174 ± 0.376",215.362,"2019—2021","0.01—1.101"
"88","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Tail_Hg_ppm","Belize",12,"0.071 ± 0.052",72.311,"2010—2021","0.023—0.217"
"89","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Tail_Hg_ppm","Costa Rica",12,"0.071 ± 0.052",72.311,"2010—2021","0.023—0.217"
"90","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Tail_Hg_ppm","Nicaragua",12,"0.071 ± 0.052",72.311,"2010—2021","0.023—0.217"
"91","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Blood_Hg_ppm","Belize",87,"0.164 ± 0.175",106.442,"2007—2023","0.001—0.721"
"92","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Blood_Hg_ppm","Colombia",87,"0.164 ± 0.175",106.442,"2007—2023","0.001—0.721"
"93","Passeriformes","Furnariidae (Ovenbirds and Woodcreepers)","Blood_Hg_ppm","Costa Rica",87,"0.164 ± 0.175",106.442,"2007—2023","0.001—0.721"
