ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
PSITTACIFORMES,PSITTACIDAE,Forpus,crassirostris,871,,,,,,,,,,,,,,,,X,,,,,,X,X,X,X,X,,X,
PSITTACIFORMES,PSITTACIDAE,Forpus,cyanopygius,872,,,,,,,,XR,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Forpus,passerinus,873,,,,XI,,,XI,,,,,,,,,X,X,X,X,X,X,,,,X,,,,
PSITTACIFORMES,PSITTACIDAE,Forpus,sclateri,874,,,,,,,,,,,,,,,,X,X,,X,,SX,X,X,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Forpus,xanthops,875,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,chrysopterus,876,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,cyanoptera,877,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,jugularis,878,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,pyrrhopterus,879,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,sanctithomae,880,,,,,,,,,,,,,,,,X,,,,,,,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,tirica,881,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Brotogeris,(versicolurus) chiriri,882,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X
PSITTACIFORMES,PSITTACIDAE,Brotogeris,(versicolurus) versicolurus,883,,,,,XI,,,,,,,,,,,X,,,,,X,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Nannopsittaca,dachilleae,884,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Nannopsittaca,panychlora,885,,,,,,,,,,,,,,,,,X,,X,,,,,,SX,,,
PSITTACIFORMES,PSITTACIDAE,Touit,batavica,886,,,,,,,,,,,,,,,,,X,X,X,X,SX,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Touit,costaricensis,887,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Touit,dilectissima,888,,,,,,,,,,,,,,,X,X,X,,,,,X,,,,,,
PSITTACIFORMES,PSITTACIDAE,Touit,huetii,889,,,,,,,,,,,,,,,,X,X,X,X,,,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Touit,melanonota,890,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Touit,purpurata,891,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X,,,
PSITTACIFORMES,PSITTACIDAE,Touit,stictoptera,892,,,,,,,,,,,,,,,,X,,,,,,X,X,,,,,
PSITTACIFORMES,PSITTACIDAE,Touit,surda,893,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Pionites,leucogaster,894,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionites,melanocephala,895,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,barrabandi,896,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,caica,897,,,,,,,,,,,,,,,,,X,,X,X,X,,,,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,haematotis,898,,,,,,,,X,X,X,,X,X,X,X,X,,,,,,X,,,,,,
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,pileata,899,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,pulchra,900,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,
PSITTACIFORMES,PSITTACIDAE,Pionopsitta,pyrilia,901,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Gypopsitta,vulturina,902,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,(amazonina) amazonina,903,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,(amazonina) fuertesi,904,,,,,,,,,,,,,,,,XR,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,(amazonina) pyrrhops,905,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PSITTACIFORMES,PSITTACIDAE,Hapalopsittaca,melanotis,906,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Graydidascalus,brachyurus,907,,,,,,,,,,,,,,,,X,,,,,X,X,X,,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,chalcopterus,908,,,,,,,,,,,,,,,,X,X,,,,,X,X,,,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,fuscus,909,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,maximiliani,910,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X
PSITTACIFORMES,PSITTACIDAE,Pionus,menstruus,911,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,senilis,912,,,,,,,,X,X,X,,X,X,X,X,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,sordidus,913,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,(tumultuosus) seniloides,914,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,,
PSITTACIFORMES,PSITTACIDAE,Pionus,(tumultuosus) tumultuosus,915,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,aestiva,916,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X
PSITTACIFORMES,PSITTACIDAE,Amazona,agilis,917,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,albifrons,918,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,amazonica,919,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,arausiaca,920,,,,,,XR,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,(autumnalis) autumnalis,921,,,,,,,,X,X,X,,X,X,X,X,X,X,,,,,X,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,(autumnalis) diadema,922,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,barbadensis,923,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,brasiliensis,924,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,collaria,925,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,dufresniana,926,,,,,,,,,,,,,,,,,X,,X,X,X,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,farinosa,927,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,festiva,928,,,,,,,,,,,,,,,,X,X,,X?,,,X,X,,X,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,finschi,929,,,,,,,,XR,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,guildingii,930,,,,,,XR,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,imperialis,931,,,,,,XR,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,leucocephala,932,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,mercenaria,933,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,(ochrocephala) auropalliata,934,,,,,,,,X,X,,X,X,X,X,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,(ochrocephala) ochrocephala,935,,,,,,,,,,,,X,,,X,X,X,,X,X,X,X,X,X,X,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,(ochrocephala) oratrix,936,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,pretrei,937,,,,,,,,,,,,,,,,,,,,,,,,,X,SV,,X
PSITTACIFORMES,PSITTACIDAE,Amazona,rhodocorytha,938,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,rubricauda,939,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,tucumana,940,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X
PSITTACIFORMES,PSITTACIDAE,Amazona,ventralis,941,,,XR,,XI,,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,versicolor,942,,,,,,XR,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,vinacea,943,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
PSITTACIFORMES,PSITTACIDAE,Amazona,viridigenalis,944,,,,,,,,XR,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,vittata,945,,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,xantholora,946,,,,,,,,X,,X,,X?,,,,,,,,,,,,,,,,,
PSITTACIFORMES,PSITTACIDAE,Amazona,xanthops,947,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,
PSITTACIFORMES,PSITTACIDAE,Deroptyus,accipitrinus,948,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,,X,,,,
PSITTACIFORMES,PSITTACIDAE,Triclaria,malachitacea,949,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,,
CUCULIFORMES,CUCULIDAE,Cuculus,canorus,950,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Coccyzus,americanus,951,X,X,X,X,X,X,XN,X,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,XN,V,XN,
CUCULIFORMES,CUCULIDAE,Coccyzus,cinereus,952,,,,,,,,,,,,,,,,SV,,,,,,,SN,XN,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Coccyzus,erythropthalmus,953,XN,XN,,XN,V,V,,XN,XN,XN,,XN,XN,XN,XN,XN,XN,V,,,,XN,XN,XN,SV,XN,,XN,
CUCULIFORMES,CUCULIDAE,Coccyzus,euleri,954,,,,,,,,,,,,,,,,X,X,,X,X,SV,,,,X,,,X,
CUCULIFORMES,CUCULIDAE,Coccyzus,ferrugineus,955,,,,,,,,,,,,,,XR,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Coccyzus,lansbergi,956,,,,,,,V,,,,,,,,SV,X,X,,,,,X,XN,,,,,,
CUCULIFORMES,CUCULIDAE,Coccyzus,melacoryphus,957,,,,,,V,,,,,,,,,,X,X,X,X?,XN,XN,X,X,X,X,X,X,X,V
CUCULIFORMES,CUCULIDAE,Coccyzus,minor,958,X,X,X,X,X,X,XN,X,X,X,X,X,X,XN,XN,X,X,X,X,X,X,,,,X,,,,
CUCULIFORMES,CUCULIDAE,Coccyzus,pumilus,959,,,,,,,,,,,,,,,SV,X,X,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Piaya,cayana,960,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Piaya,melanogaster,961,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,
CUCULIFORMES,CUCULIDAE,Piaya,minuta,962,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,
CUCULIFORMES,CUCULIDAE,Piaya,pluvialis,963,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Piaya,rufigularis,964,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Saurothera,longirostris,965,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Saurothera,merlini,966,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Saurothera,vetula,967,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Saurothera,vielloti,968,,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Crotophaga,ani,969,X,X,X,X,X,X,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Crotophaga,major,970,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Crotophaga,sulcirostris,971,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,X,X,,,,,X,X
CUCULIFORMES,CUCULIDAE,Guira,guira,972,,,,,,,V,,,,,,,,,,,,,,,,,X,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Tapera,naevia,973,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
CUCULIFORMES,CUCULIDAE,Morococcyx,erythropygus,974,,,,,,,,X,X,,X,X,X,X,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Dromococcyx,pavoninus,975,,,,,,,,,,,,,,,,,X,,X,,,X,X,X,X,X,,X,
CUCULIFORMES,CUCULIDAE,Dromococcyx,phasianellus,976,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,X,X,X,X,X,,X,
CUCULIFORMES,CUCULIDAE,Geococcyx,californianus,977,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Geococcyx,velox,978,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,,,,,
CUCULIFORMES,CUCULIDAE,Neomorphus,geoffroyi,979,,,,,,,,,,,,,X,X,X,X,,,,,,X,X,X,X,,,,
CUCULIFORMES,CUCULIDAE,Neomorphus,pucheranii,980,,,,,,,,,,,,,,,,SX,,,,,,,X,,X,,,,
CUCULIFORMES,CUCULIDAE,Neomorphus,radiolosus,981,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,
CUCULIFORMES,CUCULIDAE,Neomorphus,rufipennis,982,,,,,,,,,,,,,,,,,X,,X,,,,,,X,,,,
CUCULIFORMES,CUCULIDAE,Neomorphus,squamiger,983,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,,
CUCULIFORMES,OPISTHOCOMIDAE,Opisthocomus,hoazin,984,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,,,,
STRIGIFORMES,TYTONIDAE,Tyto,alba,985,X,X,X,X,V,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STRIGIFORMES,TYTONIDAE,Tyto,glaucops,986,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,albogularis,987,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,
STRIGIFORMES,STRIGIDAE,Otus,asio,988,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,atricapillus,989,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
STRIGIFORMES,STRIGIDAE,Otus,barbarus,990,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,choliba,991,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
STRIGIFORMES,STRIGIDAE,Otus,clarkii,992,,,,,,,,,,,,,,X,X,X,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,colombianus,993,,,,,,,,,,,,,,,,X,,,,,,X,,,
STRIGIFORMES,STRIGIDAE,Otus,cooperi,994,,,,,,,,X,X,,X,X,X,X,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,flammeolus,995,,,,,,,,X,X,,XN,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,guatemalae,996,,,,,,,,X,X,X,,X,X,X,X,X,X,,?,,,X,X,X,X
STRIGIFORMES,STRIGIDAE,Otus,ingens,997,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,
STRIGIFORMES,STRIGIDAE,Otus,kennicotti,998,,,,,,,,X,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,koepckeae,999,,,,,,,,,,,,,,,,,,,,,,,XR,,
STRIGIFORMES,STRIGIDAE,Otus,marshalli,1000,,,,,,,,,,,,,,,,,,,,,,,XR,,
STRIGIFORMES,STRIGIDAE,Otus,nudipes,1001,,,,,XR,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,petersoni,1002,,,,,,,,,,,,,,,,,,,,,,X,X,,
STRIGIFORMES,STRIGIDAE,Otus,roboratus,1003,,,,,,,,,,,,,,,,,,,,,,X,X,,
STRIGIFORMES,STRIGIDAE,Otus,seductus,1004,,,,,,,,XR,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,trichopsis,1005,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Otus,watsonii,1006,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X
STRIGIFORMES,STRIGIDAE,Lophostrix,cristata,1007,,,,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,SX,X,X,X,X
STRIGIFORMES,STRIGIDAE,Bubo,virginianus,1008,,,,,,,,X,X,X,X,X,X,X,X,X,X,,X,X,SX,X,X,X,X,X,X,X,X
STRIGIFORMES,STRIGIDAE,Pulsatrix,koeniswaldiana,1009,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
STRIGIFORMES,STRIGIDAE,Pulsatrix,melanota,1010,,,,,,,,,,,,,,,,X,,,,,,X,X,X,,,,,
STRIGIFORMES,STRIGIDAE,Pulsatrix,perspicillata,1011,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
STRIGIFORMES,STRIGIDAE,Glaucidium,brasilianum,1012,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,?,X,X,X,X,X,X,X,X
STRIGIFORMES,STRIGIDAE,Glaucidium,gnoma,1013,,,,,,,,X,X,SX,,X,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Glaucidium,hardyi,1014,,,,,,,,,,,,,,,,,X,,X,,X,,X,X,X,,,,
STRIGIFORMES,STRIGIDAE,Glaucidium,jardinii,1015,,,,,,,,,,,,,,X,X,X,X,,,,,X,X,X,,,,,
STRIGIFORMES,STRIGIDAE,Glaucidium,minutissimum,1016,,,,,,,,X,X,X,,X,,X,X,X,,,,,,X,X,,X,X,,X,
STRIGIFORMES,STRIGIDAE,Glaucidium,peruanum,1017,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
STRIGIFORMES,STRIGIDAE,Glaucidium,siju,1018,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Xenoglaux,loweryi,1019,,,,,,,,,,,,,,,,,,,,,,,XR,,,,,,
STRIGIFORMES,STRIGIDAE,Micrathene,whitneyi,1020,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Gymnoglaux,lawrencii,1021,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Speotyto,cunicularia,1022,X,X,X,,,X,X,X,XN,XN,XN,V,,V,V,X,X,,X,,,X,X,X,X,X,X,X,X
STRIGIFORMES,STRIGIDAE,Ciccaba,albitarsus,1023,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,
STRIGIFORMES,STRIGIDAE,Ciccaba,huhula,1024,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X,X,X,X,,X,
STRIGIFORMES,STRIGIDAE,Ciccaba,nigrolineata,1025,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,X,X,,,,,,
STRIGIFORMES,STRIGIDAE,Ciccaba,virgata,1026,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
STRIGIFORMES,STRIGIDAE,Strix,fulvescens,1027,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Strix,hylophila,1028,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,
STRIGIFORMES,STRIGIDAE,Strix,occidentalis,1029,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Strix,rufipes,1030,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,X,X
STRIGIFORMES,STRIGIDAE,Strix,varia,1031,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Rhinoptynx,clamator,1032,,,,,,,,X,X,SX,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
STRIGIFORMES,STRIGIDAE,Asio,flammeus,1033,V,X,X,,X,V,,XN,V,,,,,V,,X,X,,X,,S?,X,X,X,X,X,X,X,X
STRIGIFORMES,STRIGIDAE,Asio,otus,1034,,V,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Asio,stygius,1035,,X,X,,,,,X,X,X,,,X,,,X,X,,,,,X,,X,X,X,,X,
STRIGIFORMES,STRIGIDAE,Pseudoscops,grammicus,1036,,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Aegolius,acadicus,1037,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
STRIGIFORMES,STRIGIDAE,Aegolius,harrisii,1038,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,X,X,X,
STRIGIFORMES,STRIGIDAE,Aegolius,ridgwayi,1039,,,,,,,,X,X,,X,,,X,X?,,,,,,,,,,,,,,
CAPRIMULGIFORMES,STEATORNITHIDAE,Steatornis,caripensis,1040,,,,,,,V,,,,,,,V,V,X,X,X,X,,,X,X,X,,,,,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,aethereus,1041,,,,,,,,,,,,,,,,X,X,,X,,,X,X,X,X,X,,X,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,bracteatus,1042,,,,,,,,,,,,,,,,?,,,X,,,X,X,,X,,,,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,grandis,1043,,,,,,,,X,X,X,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,griseus,1044,,,X,X,V,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,leucopterus,1045,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,
CAPRIMULGIFORMES,NYCTIBIIDAE,Nyctibius,maculosus,1046,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Lurocalis,(semitorquatus) rufiventris,1047,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Lurocalis,(semitorquatus) semitorquatus,1048,,,,,,,,S?,S?,,,S?,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,acutipennis,1049,,,,,,,SV,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,V
CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,gundlachii,1050,X,X,X,X,X,,V,,,,,V,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,minor,1051,XN,XN,XN,XN,XN,XN,XN,X,XN,X,,X,X,X,X,XN,XN,?,,,,XN,XN,,XN,XN,XN,XN,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,pusillus,1052,,,,,,,,,,,,,,,,X,X,,X,,,,,X,X,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Chordeiles,rupestris,1053,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Nyctiprogne,leucopyga,1054,,,,,,,,,,,,,,,,X,X,,X,,X,,S?,X,X,X,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Podager,nacunda,1055,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Nyctidromus,albicollis,1056,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Phalaenoptilus,nuttallii,1057,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Siphonorhis,americanus,1058,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Siphonorhis,brewsteri,1059,,,XR,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Otophanes,mcleodii,1060,,,,,,,,XR,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Otophanes,yucatanicus,1061,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Nyctiphrynus,ocellatus,1062,,,,,,,,,,,,,X?,X,,X,,,,,,X,X,X,X,X,,X,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Nyctiphrynus,rosenbergi,1063,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus,anthonyi,1064,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus,candicans,1065,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,
CAPRIMULGIFORMES,CAPRIMULGIDAE,Caprimulgus,carolinensis,1066,X?,XN,XN,XN,XN,V,XN,XN,XN,V,XN,XN,XN,XN,XN,XN,V,,,,,,,,,,,,
