ORDER,FAMILY,GENUS,SPECIES,NUMB,BAHA,CUBA,HISP,JAMA,PUER,LANT,NANT,MEXI,GUAT,BELI,ELSA,HOND,NICA,COST,PANA,COLO,VENE,TRIN,GUYA,SURI,FREN,ECUA,PERU,BOLI,BRAZ,PARG,URUG,ARGN,CHIL
TINAMIFORMES,TINAMIDAE,Nothura,maculosa,47,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,
TINAMIFORMES,TINAMIDAE,Nothura,minor,48,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,
TINAMIFORMES,TINAMIDAE,Taoniscus,nanus,49,,,,,,,,,,,,,,,,,,,,,,,,,XR,,,,
TINAMIFORMES,TINAMIDAE,Eudromia,elegans,50,,,,,,,,,,,,,,,,,,,,,,,,?,,,,X,X
TINAMIFORMES,TINAMIDAE,Eudromia,formosa,51,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,
TINAMIFORMES,TINAMIDAE,Tinamotis,ingoufi,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
TINAMIFORMES,TINAMIDAE,Tinamotis,pentlandii,53,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X,X
SPHENISCIFORMES,SPHENISCIDAE,Aptenodytes,forsteri,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,XN,XN
SPHENISCIFORMES,SPHENISCIDAE,Aptenodytes,patagonicus,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
SPHENISCIFORMES,SPHENISCIDAE,Pygoscelis,adeliae,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,
SPHENISCIFORMES,SPHENISCIDAE,Pygoscelis,antarcticus,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X?
SPHENISCIFORMES,SPHENISCIDAE,Pygoscelis,papua,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X?
SPHENISCIFORMES,SPHENISCIDAE,Eudyptes,chrysocome,59,,,,,,,,,,,,,,,,,,,,,,,,,V,,XN,X,X
SPHENISCIFORMES,SPHENISCIDAE,Eudyptes,chrysolophus,60,,,,,,,,,,,,,,,,,,,,,,,,,XN,,,X,X
SPHENISCIFORMES,SPHENISCIDAE,Eudyptes,robustus,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,
SPHENISCIFORMES,SPHENISCIDAE,Eudyptes,sclateri,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,V,
SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,humboldti,63,,,,,,,,,,,,,,,,,,,,,,XN,X,,,,,,X
SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,magellanicus,64,,,,,,,,,,,,,,,,,,,,,,,,,XN,,XN,X,X
SPHENISCIFORMES,SPHENISCIDAE,Spheniscus,mendiculus,65,,,,,,,,,,,,,,,,,,,,,,XR,,,,,,,
GAVIIFORMES,GAVIIDAE,Gavia,adamsii,66,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,
GAVIIFORMES,GAVIIDAE,Gavia,immer,67,,V,,,,,,XN,,,,,,,,,,,,,,,,,,,,,
GAVIIFORMES,GAVIIDAE,Gavia,pacifica,68,,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,
GAVIIFORMES,GAVIIDAE,Gavia,stellata,69,,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Tachybaptus,dominicus,70,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,
PODICIPEDIFORMES,PODICIPEDIDAE,Podilymbus,gigas,71,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Podilymbus,podiceps,72,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S?,X,X,X,X,X,X,X,X
PODICIPEDIFORMES,PODICIPEDIDAE,Rollandia,micropterum,73,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Rollandia,rolland,74,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,auritus,75,,,,,,,,XN,,,,,,,,,,,,,,,,,,,,,
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,gallardoi,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,XR,
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,major,77,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,X
PODICIPEDIFORMES,PODICIPEDIDAE,Podiceps,(nigricollis) andinus,78,,,,,,,,,,,,,,,,XR,,,,,,,,,,,,,
